crawl_date,source,target,anchor_text
20091025200850,http://geocities.com/oyaos/index.htm,http://geocities.com/oyaos/page03.htm,¤ÓªÅ¤Hªº¸Ü
20091027002105,http://uk.geocities.com/ukphoenix_2000/Photos/Medium1-20/,http://uk.geocities.com/ukphoenix_2000/Photos/,Parent Directory
20090829150046,http://geocities.com/jdc104/blog.html/?pg=103&cnt=5,http://geocities.com/jdc104/blog.html/541,"Entry for September 05, 2006"
20090901150446,http://geocities.com/Yosemite/6045/links.html,http://www.mca.com/,press here to go to semisonic's homepage
20091025201319,http://geocities.com/geosearch_a/lyrics.html,http://geocities.com/geosearch_a/vacation.html,vacation
20091027011057,http://uk.geocities.com/gay122boys/gvtga/ski-comic-porn.htm,http://uk.geocities.com/gay122boys/gvtga/porn-comic-book-companies.htm,And trucks the
20090807025618,http://geocities.com/chaz_funk2000/index.html,http://www.geocities.com/chaz_funk2000/SECRET.html,SECRET C
20091024231431,http://geocities.com/jetsetsatellite/onlinechat.html,mailto:webmaster@jetsetsatellite.zzn.com,webmaster@jetsetsatellite.zzn.com
20091027010834,http://geocities.com/bluegalaxyspace/myweb3/,http://geocities.com/bluegalaxyspace/myweb3/construction%20page.htm,construction page.htm
20090830174126,http://www.jiebingchen.com/,http://hackettstown.net/community/cleancommunities/Worddocs/Forms/docs/index.php?camera=498,free webcams cam girls
20091028101857,http://www.youtube.com/watch?v=0Nyu6iZ4_e0,http://www.youtube.com/my_quicklist,Added to Quicklist
20091028131138,http://www.geocities.com/TimesSquare/1587/lesson5c.html,http://www.geocities.com/TimesSquare/1587/lesson5e.html,Ye Ole Tavern
20091028185451,http://www.lastfm.fr/user/gretski101,http://www.lastfm.fr/user/gretski101/tracks,Voir plus
20091022055034,http://geocities.com/mllereisz/UofLMusicTheoryI/Test4/index.html,mailto:rmdora02@louisville.edu,Email the GTA
20091028101223,http://www.gitaaonline.com/hangman/?letters=CJY&n=5,http://www.gitaaonline.com/cat/management-mantras/,Management Mantras
20091028184317,http://www.geocities.jp/aairari/firenze_t1.html,http://tokyo.cool.ne.jp/groupa4/nether-hotel.html,I_
20091027063305,http://www.geocities.com/walrus4u/sounds/midi-zip/?N=D,http://www.geocities.com/walrus4u/sounds/midi-zip/LongLongLong.mid,LongLongLong.mid
20091022082119,http://geocities.com/leopoldolindsay02/wbtv-channel-3-news.html,"http://geocities.com/leopoldolindsay02/wcta-credit-union-for-reopos-in-wayne-county,ny.html","Wcta credit union for reopos in wayne county,ny"
20091028102848,http://www.sexxyshop.com.br/shop.php?department=0008&session=0801&show=5152,http://www.sexxyshop.com.br/shop.php?search=%22doc+johnson%22,Doc Johnson
20091028185351,http://www.geocities.jp/aairari/london-hotel1.html,http://www.geocities.jp/irari15/SaintMalo-Hotel.html,T}
20091028103112,http://www.110mb.com/forum/is-it-possible-to-install-ie6-and-ie7-together-in-xp-t12586.0.html,http://www.110mb.com/forum/profiles/raman-u6983.html,Raman
20090726062346,http://geocities.yahoo.com/gb/sign?member=svfcca,http://us.rd.yahoo.com/footer/?http://my.yahoo.com/,My Yahoo!
20091028102600,http://www.gohome.com.hk/search_result/listing.asp?listingCode=3741-2203&pageno=1&company=161&sortby=7&pagesize=30,http://www.gohome.com.hk/serviceapt/listdevelopment.asp,服務式住宅
20091027011042,http://mx.geocities.com/korn_cl2002/thumbnails/?M=A,http://mx.geocities.com/korn_cl2002/thumbnails/head8_jpg.jpg,head8_jpg.jpg
20091027031604,http://es.geocities.com/hardcoreasturies/logos/?S=A,http://es.geocities.com/hardcoreasturies/logos/heart.gif,heart.gif
20091027073854,http://geocities.com/iglu01/en/anthropology.html,http://www.kuriren.nu/default.asp?TargetForm=/utmatningssidan.asp&ArticleID=528146&CategoryID=2764&ArticleStateID=2&ClientID=0,Student ska gränsforska i Pajala
20091028183805,http://www.key4u.org/bbs/del_comment.php?id=ucc&page=1&sn1=&divpage=1&sn=off&ss=on&sc=on&select_arrange=hit&desc=desc&no=142&c_no=10002,http://www.key4u.org/bbs/del_comment.php?id=ucc&page=1&sn1=&divpage=1&sn=off&ss=on&sc=on&select_arrange=hit&desc=desc&no=142&c_no=10002#,ÀÚÀ¯°Ô½ÃÆÇ
20091028103353,http://www.geocities.jp/irari15/Invercargill-Hotel.html,http://tokyo.cool.ne.jp/groupa/roma-hotel.html,[}
20090901191145,http://geocities.com/koratmahknut/warinlaos/Lima85/miakirk.htm,http://www.tlc-brotherhood.org,http://www.tlc-brotherhood.org
20091028101804,http://www.tatiana.tv/version2009/nota.asp?noticia=507,http://www.tatiana.tv/version2009/noticias.asp?page=91#arcnoticias,91
20091022190642,http://geocities.com/starchaser-m/maps/printleo.html,http://www.geocities.com/Heartland/Fields/8616/index.html,Home
20090830225648,http://geocities.com/wayne-leman/poetry/,http://geocities.com/wayne-leman/poetry/?M=A,Last modified
20091027062734,http://www.geocities.com/bernardwhitney845/userfriendly-titan-mod.html,http://www.geocities.com/bernardwhitney845/usurp-synapse.html,Usurp synapse
20091028184124,http://www.last.fm/user/aaktt/charts?rangetype=overall&subtype=artists,http://www.last.fm/music/Natural+Snow+Buildings,Natural Snow Buildings
20091028184346,http://www.econtableyss.com.ar/cgi-bin/login/Mozilla/Mozilla/adstream_mjx.ads/Mozilla/login/login_info,http://www.freeservers.com/about_us.htm,About UOL Web Services
20091028184625,http://www.onsrn.com/default.aspx?name_query=Insurance+Airline+Ticket&tQi5Cq=piria9oFVjzp2,http://www.onsrn.com/default.aspx?name_query=American+General&5tutRcxert=SvnwZMWRWpw2GS,American General
20091026223349,http://geocities.com/moonstar_aya/index_archivos/?M=D,http://geocities.com/moonstar_aya/index_archivos/image003.gif,image003.gif
20091025231529,http://geocities.com/heatherjlowe/sklog.html/?pg=30&cnt=5,http://geocities.com/heatherjlowe/sklog.html/135,"Entry for November 11, 2006"
20091028184715,http://www.last.fm/user/aaktt/charts?rangetype=6month&subtype=artists,http://www.last.fm/music/Dolly+Parton,Dolly Parton
20091027011331,http://ca.geocities.com/tropicana159casino/eugag/isleta-casinos-in-new-mexico.htm,http://ca.geocities.com/tropicana159casino/attbo/casino-black-jack-tip.htm,the face card
20091027001547,http://us.share.geocities.com/tennesseevolunteersrock/cdlist.htm,http://us.share.geocities.com/tennesseevolunteersrock/cdlist.htm#ContactInfo,Contact Info
20091028183938,http://www.lastfm.it/user/aaktt/neighbours,http://www.lastfm.it/user/Mayflower357,Mayflower357
20091027141136,http://geocities.com/chriscarman3/FISHING/images/logos/?M=A,http://geocities.com/chriscarman3/FISHING/images/logos/?D=A,Description
20091027030422,http://de.geocities.com/pdonkeysvcdh/svcd-h/Hollow-Man.htm,http://de.geocities.com/pdonkeytools/tshirt.htm,T-Shirt [Shop]
20090830173332,http://geocities.com/Paris/Metro/3678/,http://www.geocities.com/dxcouch/dxcouch_hockey.html,DXCouch's Hockey Cards
20090829145812,http://geocities.com/elite_haruka/art/,http://geocities.com/elite_haruka/art/tifawhat.JPG,tifawhat.JPG
20090808234653,http://geocities.com/husnu66tr/ujy.htm,http://www.jenderny.de/81xx/pins.html,"NCDS Interface Schematic for Nokia 3110, 8110, 8110i"
20091028185501,http://www.geckogully.com/index.php?act=login&redir=L2luZGV4LnBocD9hY3Q9dGFmJmFtcDtwcm9kdWN0SWQ9ODI=,http://www.geckogully.com/index.php?act=viewCat&catId=87,Block of the Month or individual - Constantine Farm(24)
20090830230251,http://geocities.com/west_highland_rescue/lostfound.html,mailto:whrny@hotmail.com,Post a Lost Pet Ad
20091027011139,http://www.geocities.com/kendallzamora581/entertainment-in-the-19th-century.html,http://www.geocities.com/kendallzamora581/environmental-compliance-alert.html,Environmental compliance alert
20091027090819,http://hk.geocities.com/dayssurvey/index/?D=D,http://hk.geocities.com/dayssurvey/index/?N=A,Name
20091027011135,http://geocities.com/dom1234tw/images/,http://geocities.com/dom1234tw/images/p65.gif,p65.gif
20091027131506,http://geocities.com/anan19/DESERT/?M=A,http://geocities.com/anan19/DESERT/?S=A,Size
20091027063925,http://geocities.com/SoHo/8117/projects/,http://geocities.com/SoHo/8117/projects/celticbeadembroidery4d.jpg,celticbeadembroidery4d.jpg
20091028101802,http://www.usedp.net/bbs/uks_modify_comment.php?id=poll&page=1&sn1=&divpage=1&sn=off&ss=on&sc=on&select_arrange=hit&desc=asc&no=69&c_no=54,http://www.usedp.net/,"""Áß°íÆù, Áß°íÇÚµåÆù ÃÖ´ë Á÷°Å·¡ ÀåÅÍ!"" ÀÌÁ¨ Áß°íÆù ¿ì¸®³¢¸® »ç°íÆÈÀÚ!"
20091027062800,http://geocities.com/Wellesley/Veranda/8891/,http://www.geocities.com/mahtezcatpoc,Mark Andrew Holmes
20090830230026,http://geocities.com/weisert7/MeatRecipes.html,http://www.geocities.com/weisert7/SpanishSteak.html,Spanish Steak
20091022082120,http://geocities.com/henrybooker341/wholesale-swan-ice-sculpture-mold-and-drip-tray.html,http://geocities.com/henrybooker341/wholesale-surplus-shelf-pulls.html,Wholesale surplus shelf pulls
20091028185533,http://www.geocities.jp/aairari/gucci1.html,http://tokyo.cool.ne.jp/groupa15/vancouver_t.html,LVR
20091028184706,http://offbluehighways.bravehost.com/dineh/dine_links2.htm/http//http//www.nrcce.wvu.edu/www.nature.nps.gov/water/www.nature.nps.gov/water/%20management_plans/site_map.html,http://www.spiritual-endeavors.org/m-earth/how/Navajo.htm,Mining - the Navajo - to Extinction
20091025231333,http://geocities.com/erthewebsite/news/er_news0050.htm,http://geocities.com/erthewebsite/er_news.htm,News
20091027030600,http://uk.geocities.com/sabildz5/smf/4PhotoGallery/?D=A,http://uk.geocities.com/sabildz5/smf/4PhotoGallery/5Traktor.htm,5Traktor.htm
20091022054822,http://geocities.com/lucasholmes334/arizona-state-employees.html,http://geocities.com/lucasholmes334/ny-broker-license-use-in-nj.html,Ny broker license use in nj
20091028095835,http://www.geocities.com/gero404/wlog/2004_01_01_arc.html,https://www.blogger.com/comment.g?blogID=3937292&postID=107387047877835599&isPopup=true,0 Comments
20090727083101,http://br.geocities.com/simonezaar/jacobbend/index3.htm,http://br.geocities.com/simonezaar/jacobbend/pafg12.htm#371,Nelvi
20090727185117,http://www.trueislam.info/quran.htm,http://radio.faizaneattar.net/AL-QURAN/Audio/12_Yousaf.rm,Download
20091026222921,http://geocities.com/takeru_saku/national_profile/national_profile.htm,http://geocities.com/takeru_saku/national_profile/national_profile_10_5_01.htm,Confederations ªMªì¿ï35¤H¦W³æµoªí
20091027001934,http://uk.geocities.com/rugbyblueprintuk/files/,http://uk.geocities.com/rugbyblueprintuk/files/35000092.jpg,35000092.jpg
20091028102849,http://www.youtube.com/watch?v=yVV-QuCXbmo,http://www.youtube.com/watch?v=0NbJk8R9Oq8&feature=featured,Sci Fi España: Webisodio Sanctuary 1 (V.O.S.)
20091028184632,http://www.geckogully.com/index.php?act=login&redir=L2luZGV4LnBocD9wYWdlPTE5JmFtcDtjY1VzZXI9JmFtcDtjYXRJZD0xMzQmYW1wO2FjdD12aWV3Q2F0,http://www.geckogully.com/index.php?act=viewCat&catId=123,Small Rulers & Accessories(10)
20091024232444,http://geocities.com/play_central/watchmenow.html,http://www.geocities.com/play_central/multimedia.html,multimedia
20091028185245,http://www.onsrn.com/default.aspx?name_query=About&vHUtszmcSpFpvW=MNbxBLVpyz4,http://www.onsrn.com/default.aspx?name_query=Otolaryngology&Jv3o1e5=pAs0e,Otolaryngology
20091027031721,http://br.geocities.com/metalmaniarockstore/arquivo_posteres/?N=A,http://br.geocities.com/metalmaniarockstore/arquivo_posteres/SM-125p.jpg,SM-125p.jpg
20091027063149,http://es.geocities.com/dani_bilbo/fotosjazz/?N=A,http://es.geocities.com/dani_bilbo/fotosjazz/FoTojazz1web.jpg,FoTojazz1web.jpg
20091022055140,http://geocities.com/terrencerodriquez575/dodge-ram-headers.html,"http://geocities.com/terrencerodriquez575/dodge-dealers-sacramento,-california.html","Dodge dealers sacramento, california"
20091022191331,http://geocities.com/yongbuck781/arnell-starr-productions.html,http://geocities.com/yongbuck781/army-fitness-standards-for-civilian-personnel.html,Army fitness standards for civilian personnel
20091027141621,http://geocities.com/gps4tpe/renseignements_fichiers/?D=A,http://geocities.com/gps4tpe/renseignements_fichiers/?S=A,Size
20091027092044,http://geocities.yahoo.com/join/SRC=/text/text/SRC=/text/P=NOO6PkLaTU7Z_tdrRVKkFwZDSBRjMEVThREADqLj&T=142u1918b/X=1163101457/E=76001054/R=geocities/K=5/V=1.1/old_price2=%2411.95&promo2=1&discount2=%245.98&percent2=50%25&waived2=WAIVED&,http://docs.yahoo.com/info/guidelines/community.html,Guidelines
20091027142654,http://geocities.com/gshistory/about/about.htm,http://geocities.com/gshistory/links/links.htm,Links
20091028102946,http://www.softonic.com/windows/negocios-verticales-gratis-espanol,http://trey-auto.softonic.com/descargar,Descargar
20091028185415,http://www.geocities.jp/aairari/seoul.html,http://tokyo.cool.ne.jp/groupa4/vancouver-hotel.html,oN[o[
20091027031223,http://geocities.com/guerchele/photoalbum05/,http://geocities.com/guerchele/,Parent Directory
20091028132700,http://geocities.com/jarhead_cop/Images/Patches-US/?N=D,http://geocities.com/jarhead_cop/Images/Patches-US/MO-SalemPd.jpg,MO-SalemPd.jpg
20091027003425,http://us.share.geocities.com/infralyd/videnom5.htm,http://www.dr.dk/videnskab/interaktivitet/,Interaktivitet
20091027030230,http://es.geocities.com/don_javi_es/Espana/JCarlosI/10/?D=A,http://es.geocities.com/don_javi_es/Espana/JCarlosI/10/Diez1-Cruzp.jpg,Diez1-Cruzp.jpg
20091020181404,http://geocities.com/Heartland/Acres/1507/mijnboom/gp75.htm,http://www.gedhtree.com,GedHTree Version 2.08
20091022190550,http://geocities.com/stanleyfrancis201/dsa-inspection.html,http://geocities.com/stanleyfrancis201/university-of-wisconsin-stevens-point.html,University of wisconsin stevens point
20091028102946,http://www.lastfm.fr/user/suslin/charts?rangetype=3month&subtype=tracks,http://www.lastfm.fr/music/Amon+Amarth,Amon Amarth
20091028185333,http://www.hayescounty.ne.gov/content/index_html?page=content/calendar/index_html&date-calendar=2009-04-05&mode-calendar=year,http://www.hayescounty.ne.gov/content/index_html?page=content/calendar/index_html,Public Meeting Calendar
20091027031622,http://br.geocities.com/kenjidiving/subdiretorio/?N=A,http://br.geocities.com/kenjidiving/subdiretorio/sinais3.jpe,sinais3.jpe
20091027090405,http://hk.geocities.com/jangshkimo/_themes/inmotion/_vti_cnf/?M=D,http://hk.geocities.com/jangshkimo/_themes/inmotion/_vti_cnf/inmhbuha.gif,inmhbuha.gif
20091027073015,http://www.geocities.com/tslay14/biodata.htm,http://www.geocities.com/tslay14/links.htm,Links
20091027125854,http://geocities.com/acuarioselpalo/images/_vti_cnf/,http://geocities.com/acuarioselpalo/images/_vti_cnf/email.gif,email.gif
20091028184924,http://www.last.fm/user/aaktt/charts?rangetype=week&subtype=tracks,http://www.last.fm/music/Toma%C5%BE+Pengov/_/Potovanje+Nespe%C4%8Dih,Potovanje Nespečih
20090729160924,http://hk.geocities.com/stupid_jennifer/?D=A,http://hk.geocities.com/stupid_jennifer/diary69.jpg,diary69.jpg
20091027030553,http://de.geocities.com/pdonkeysvcdj/frame/?D=A,http://de.geocities.com/pdonkeysvcdj/frame/futurehitz.htm,futurehitz.htm
20091028103138,http://www.tatiana.tv/version2009/nota.asp?noticia=168&id=nota,http://www.tatiana.tv/version2009/noticias.asp?page=55#arcnoticias,55
20091028184820,http://www.lastfm.it/user/aaktt/charts?rangetype=year&subtype=artists,http://www.lastfm.it/user/aaktt/charts?rangetype=year&subtype=artists#,Acquista brano
20090830230151,http://geocities.com/Yosemite/2411/sitemap.html,http://geocities.com/Yosemite/2411/bigpic/bigpic40.html,The bare granite highlands of Mt. Owen
20091024231741,http://geocities.com/cbemu/haberler.htm,http://www.batur.com/cgi-bin/yaz.pl?id=cbemu,ZiYARETÇi DEFTERi
20091027002102,http://hk.geocities.com/kenny_grass/material/,http://hk.geocities.com/kenny_grass/material/114.JPG,114.JPG
20091020180952,http://geocities.com/KentSerrano24/augers-for-juicers.html,http://geocities.com/KentSerrano24/party-mix-cd.html,Party Mix Cd
20091027090518,http://geocities.com/aolynx/drivers/drvbios.htm,http://www.intel.com/,Intel Web Site
